caption,Q,A
Generate an image from a gastroscopy procedure.,What type of medical procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, as well as at the upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center positions."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, lower-center and lower-rigth.",What anatomical landmark is visible in the image?,"The anatomical landmark is located in the center, center-left, center-right, lower-center, and lower-right areas of the image."
Generate an image containing ulcerative colitis.,What type of colonic disease is depicted in this image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,1
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in this endoscopy image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there any artefact present in the image?,"No, there is no green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, yellow and white.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, yellow, and white."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center regions."
Generate an image containing ulcerative colitis.,What is the condition depicted in the endoscopic image?,Ulcerative colitis
Generate an image with 1 finding.,What can be seen in this image?,One finding is visible.
Generate an image with no instruments.,What is the status of the instruments in the image?,There are no instruments present.
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is normal with no polyps present.
